custcode,Mar,Apr,May,firstAccum,firstTrend,SecondTrend,AvgFirstTrend,Jun,Jul,Aug,SecondAccum,ThirdTrend,FourthTrend,SecondAvgTrend,AccumTrend
00001NS,,,,0,0,0,0,,"12,115",,"12,115",0,0,0,0
01013AY,"831,289","566,242","503,215","1,900,746",1.47,1.13,1.3,"786,792","532,707","529,945","1,849,445",0.68,0.99,0.835,0.97
01015AY,,280,"22,800","23,080",0,0.01,0.005,"17,348","4,835","7,764","29,947",0.28,1.61,0.945,1.3
01016AY,"16,922",,,"16,922",0,0,0,"1,177","4,340","5,298","10,815",3.69,1.22,2.455,0.64
01017AY,"69,293","58,365","98,767","226,425",1.19,0.59,0.89,"23,897","16,340","32,244","72,481",0.68,1.97,1.325,0.32
01018AY,"19,017","33,069",256,"52,342",0.58,129.18,64.88,"29,572",,,"29,572",0,0,0,0.56
01019AY,578,"1,913",,"2,491",0.3,0,0.15,,56,"1,772","1,829",0,31.61,15.805,0.73
01019CM,,,434,434,0,0,0,,,,0,0,0,0,0
01020AY,"2,848",,,"2,848",0,0,0,,"3,841",329,"4,170",0,0.09,0.045,1.46
01021AY,,"1,651",127,"1,778",0,13,6.5,78,,,78,0,0,0,0.04
01024AY,,,,0,0,0,0,,,,0,0,0,0,0
01025AY,,"1,926",,"1,926",0,0,0,,71,318,389,0,4.47,2.235,0.2
01026AY,"4,757","4,204",783,"9,744",1.13,5.37,3.25,,437,,437,0,0,0,0.04
01027AY,,891,389,"1,280",0,2.29,1.145,,,,0,0,0,0,0
01028AY,"1,141",206,,"1,347",5.54,0,2.77,,,"2,445","2,445",0,0,0,1.82
01030AY,,,"3,909","3,909",0,0,0,,,,0,0,0,0,0
01127TR,,,,0,0,0,0,,,"40,093","40,093",0,0,0,0
02003BS,"3,387",,,"3,387",0,0,0,,,,0,0,0,0,0
04003AY,"133,434","160,123","129,270","422,827",0.83,1.24,1.035,"244,780","119,841","104,364","468,985",0.49,0.87,0.68,1.11
04006AY,"101,840","71,591","544,110","717,541",1.42,0.13,0.775,"201,735","293,344","39,066","534,146",1.45,0.13,0.79,0.74
04007AY,,,,0,0,0,0,"4,449",,"4,860","9,308",0,0,0,0
04009AY,"26,894","17,793","4,833","49,520",1.51,3.68,2.595,,"1,103","1,589","2,692",0,1.44,0.72,0.05
04011AY,209,235,"2,699","3,143",0.89,0.09,0.49,,"3,318","3,790","7,108",0,1.14,0.57,2.26
04014AY,,,,0,0,0,0,,,,0,0,0,0,0
04086TJ,,,,0,0,0,0,"1,029",,,"1,029",0,0,0,0
08008BS,,,,0,0,0,0,,,639,639,0,0,0,0
08010AY,"20,268","10,949","3,459","34,676",1.85,3.17,2.51,"16,359","15,969","13,421","45,749",0.98,0.84,0.91,1.32
08011AY,"5,820",,,"5,820",0,0,0,,,"8,354","8,354",0,0,0,1.44
