No_,Name,Search Name,Name 2,Address,Address 2,City,Contact,Phone No_,Telex No_,Document Sending Profile,Ship-to Code,Our Account No_,Territory Code,Global Dimension 1 Code,Global Dimension 2 Code,Chain Name,Budgeted Amount,Credit Limit (LCY),Customer Posting Group,Currency Code,Customer Price Group,Language Code,Registration Number,Statistics Group,Payment Terms Code,Fin_ Charge Terms Code,Salesperson Code,Shipment Method Code,Shipping Agent Code,Place of Export,Invoice Disc_ Code,Customer Disc_ Group,Country_Region Code,Collection Method,Amount,Blocked,Invoice Copies,Last Statement No_,Print Statements,Bill-to Customer No_,Priority,Payment Method Code,Format Region,Last Modified Date Time,Last Date Modified,Application Method,Prices Including VAT,Location Code,Fax No_,Telex Answer Back,VAT Registration No_,Combine Shipments,Gen_ Bus_ Posting Group,Picture,GLN,Post Code,County,EORI Number,Use GLN in Electronic Document,E-Mail,Home Page,Reminder Terms Code,No_ Series,Tax Area Code,Tax Liable,VAT Bus_ Posting Group,Reserve,Block Payment Tolerance,IC Partner Code,Prepayment _,Partner Type,Intrastat Partner Type,Exclude from Pmt_ Practices,Image,Privacy Blocked,Disable Search by Name,Allow Multiple Posting Groups,Preferred Bank Account Code,Coupled to CRM,Cash Flow Payment Terms Code,Primary Contact No_,Contact Type,Mobile Phone No_,Responsibility Center,Shipping Advice,Shipping Time,Shipping Agent Service Code,Service Zone Code,Price Calculation Method,Allow Line Disc_,Base Calendar Code,Copy Sell-to Addr_ to Qte From,Validate EU Vat Reg_ No_,Id,Currency Id,Payment Terms Id,Shipment Method Id,Payment Method Id,Tax Area ID,Contact ID,Contact Graph Id,$systemId,$systemCreatedAt,$systemCreatedBy,$systemModifiedAt,$systemModifiedBy
00001AY,บริษัท 168 อลูมิเนียม สุพรรณบุรี จำกัด,บริษัท 168 อลูมิเนียม สุพรรณบุรี จำกัด,,77/1 หมู่ที่ 3,,อำเภอศรีประจันต์,นายบัณฑิต เชี่ยวสกุล,,,,,,CENTRAL,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,30,,21311,1,,,00001AY,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:24:28.38+00,2024-06-05 00:00:00+00,0,0,,,,0725563000901,0,W,,,72140,จังหวัดสุพรรณบุรี,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,089-799-3841,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,911438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,9FF0509B-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:34.633+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:24:28.397+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
00001BS,นาย ฤทธิเดช ชุมเพชร,นาย ฤทธิเดช ชุมเพชร,,78 หมู่ที่ 6,,อำเภอบางไทร,,,,,,,CENTRAL,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20712,1,,,00001BS,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:24:28.42+00,2024-06-05 00:00:00+00,0,0,,,,1320700171695,0,R,,,13190,จังหวัดพระนครศรีอยุธยา,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,A5F0509B-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:34.643+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:24:28.427+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
00001CR,ร้าน 108 ฝ้าเพดาน,ร้าน 108 ฝ้าเพดาน,,57/16 หมู่ที่22 ถนนพ่อขุน-เวียงชัย,,อำเภอเมืองเชียงราย,คุณกนกวรรณ ถุงแก้ว,"09-4004-4108,08-4640-8386",,,,,NORTH,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,45,,20538,2,,,00001CR,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:24:28.447+00,2024-06-05 00:00:00+00,0,0,,,,3540500142769,0,W,,,57000,จังหวัดเชียงราย,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,"09-4004-4108,08-4640-8386",,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,941438EA-9C0E-EF11-A64E-00505684417F,8A5685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,ABF0509B-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:34.65+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:24:28.457+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
00001CR-1,บริษัท ทีมพลัส เอ็นจิเนียริ่ง จำกัด,บริษัท ทีมพลัส เอ็นจิเนียริ่ง จำกัด,," 5 ซอยพัฒนาการ 20 แยก 9",,เขตสวนหลวง,,,,,,,,,,,0.00000000000000000000,0.00000000000000000000,,,,,,0,,,,,,,00001CR-1,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:24:28.477+00,2024-06-05 00:00:00+00,0,0,,,,0105555180054,0,,,,,กรุงเทพฯ,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,0,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,B1F0509B-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:34.657+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:24:28.477+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
00001HY,ร้าน JJ กระจก-อลูมิเนียม,ร้าน JJ กระจก-อลูมิเนียม,,296 หมู่ที่ 3 ถนนเพชรเกษม,,อำเภอหาดใหญ่,,,,,,,SOUTHERN,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20771,1,,,00001HY,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:24:28.51+00,2024-06-05 00:00:00+00,0,0,,,,1969800077651,0,R,,,90110,จังหวัดสงขลา,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,B7F0509B-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:34.663+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:24:28.517+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
00001NR,ร้าน M.P. อลูมินั่ม,ร้าน M.P. อลูมินั่ม,,86/8 ถนนสืบศิริซอย 3,,อำเภอเมืองนครราชสีมา,คุณชนิดาภา มาเสถียร,044 275-727,,,,,NORTHEASTE,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,30,,20505,2,,,00001NR,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:24:28.537+00,2024-06-05 00:00:00+00,0,0,,,,3501400099854,0,W,,,30000,จังหวัดนครราชสีมา,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,"044 275-727, 081 718-2906",,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,911438EA-9C0E-EF11-A64E-00505684417F,8A5685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,BDF0509B-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:34.667+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:24:28.543+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
00001NR-11,บริษัท กวิสรามี จำกัด,บริษัท กวิสรามี จำกัด,,28  ถนนนาคนิวาส   ซอยนาคนิวาส 37 แยก 2-9,,เขตลาดพร้าว,,,,,,,,,,,0.00000000000000000000,0.00000000000000000000,,,,,,0,,,,,,,00001NR-11,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:24:28.56+00,2024-06-05 00:00:00+00,0,0,,,,0105566113345,0,,,,10230,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,0,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,C3F0509B-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:34.673+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:24:28.563+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
00001NR-12,บริษัท ท่าเยี่ยมพัฒนา เอ็นจิเนียริ่ง จำกัด,บริษัท ท่าเยี่ยมพัฒนา เอ็นจิเนียริ่ง จำกัด,,495  หมู่ที่ 13,,อำเภอโชคชัย,,,,,,,,,,,0.00000000000000000000,0.00000000000000000000,,,,,,0,,,,,,,00001NR-12,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:24:28.583+00,2024-06-05 00:00:00+00,0,0,,,,0305556001569,0,,,,30190,จังหวัดนครราชสีมา,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,0,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,C9F0509B-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:34.68+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:24:28.587+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
00001NR-2,บริษัท สราญจิต 1999 จำกัด,,,388/76  หมู่ 5,,อำเภอเมืองนครราชสีมา,,,,,,,,,,,0.00000000000000000000,0.00000000000000000000,,,,,,0,,,,,,,00001NR-2,,,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-10 09:29:41.42+00,2024-06-10 00:00:00+00,0,0,,,,0305542000506,0,,,,,จังหวัดนครราชสีมา,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,0,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,252504F6-0B27-EF11-84C2-00505684FB3B,2024-06-10 09:29:40.83+00,0A74D711-ED55-4029-BEB2-972FB9D4A4A3,2024-06-10 09:29:41.43+00,0A74D711-ED55-4029-BEB2-972FB9D4A4A3
00001NR-8,บริษัท พี เอ็ม ไอ เอ็นยิเนียริ่ง จำกัด,บริษัท พี เอ็ม ไอ เอ็นยิเนียริ่ง จำกัด,,"2013/12-13 ถนนสืบศิริ ",,"อำเภอเมืองนครราชสีมา ",,,,,,,,,,,0.00000000000000000000,0.00000000000000000000,,,,,,0,,,,,,,00001NR-8,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:24:28.613+00,2024-06-05 00:00:00+00,0,0,,,,0305543001018,0,,,,30000,"จังหวัดนครราชสีมา ",,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,0,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,CFF0509B-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:34.687+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:24:28.623+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
