ตรวจสอบ (Verified),แท็บ,ส่วน,ชื่อฟิลด์,ประเภท,แสดงผล (*),การบังคับ,กฎการตรวจสอบ,หมายเหตุ
FALSE,ข้อมูลคำขอ,เอกสารแนบ,เอกสารขอเปิดเครดิต,อัปโหลดไฟล์,มี,บังคับ,-,credit_application_doc
FALSE,ข้อมูลคำขอ,เอกสารแนบ,ใบเสนอราคา,อัปโหลดไฟล์,ไม่มี,ไม่บังคับ,-,quotation
FALSE,ข้อมูลคำขอ,เอกสารแนบ,Bank Guarantee,อัปโหลดไฟล์,ไม่มี,ไม่บังคับ,-,bank_guarantee_doc
FALSE,ข้อมูลคำขอ,เอกสารแนบ,Bank Guarantee > จำนวนเงิน,Number,ไม่มี,บังคับ (เมื่อมีไฟล์),ตัวเลขเท่านั้น,bankGuaranteeDetails.[filename].amount
FALSE,ข้อมูลคำขอ,เอกสารแนบ,Bank Guarantee > วันหมดอายุ,Date (TH),ไม่มี,บังคับ (เมื่อมีไฟล์),รูปแบบ dd/mm/yyyy,bankGuaranteeDetails.[filename].expiryDate
FALSE,ข้อมูลคำขอ,เอกสารแนบ,เอกสารค้ำประกัน,อัปโหลดไฟล์,ไม่มี,ไม่บังคับ,-,letter_guarantee_doc
FALSE,ข้อมูลคำขอ,เอกสารแนบ,หลักฐานเงินค้ำประกัน,อัปโหลดไฟล์,ไม่มี,ไม่บังคับ,-,cash_deposit_doc
FALSE,ข้อมูลคำขอ,เอกสารแนบ,หลักฐานเงินค้ำประกัน > จำนวนเงิน,Number,ไม่มี,บังคับ (เมื่อมีไฟล์),ตัวเลขเท่านั้น,cashDepositDetails.[filename].amount
FALSE,ข้อมูลคำขอ,เอกสารแนบ,หลักฐานเงินค้ำประกัน > วันหมดอายุ,Date (TH),ไม่มี,บังคับ (เมื่อมีไฟล์),รูปแบบ dd/mm/yyyy,cashDepositDetails.[filename].expiryDate
FALSE,ข้อมูลคำขอ,ข้อมูลผู้ติดต่อ,ชื่อผู้ติดต่อ,ข้อความ,มี,บังคับ,ตัวอักษรและตัวเลข,contact_person
FALSE,ข้อมูลคำขอ,ข้อมูลผู้ติดต่อ,ตำแหน่ง,ข้อความ,มี,บังคับ,ตัวอักษรเท่านั้น,contact_position
FALSE,ข้อมูลคำขอ,ข้อมูลผู้ติดต่อ,แผนก,ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรและตัวเลข,contact_department
FALSE,ข้อมูลคำขอ,ข้อมูลผู้ติดต่อ,ฝ่าย,ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรและตัวเลข,contact_division
FALSE,ข้อมูลคำขอ,ข้อมูลผู้ติดต่อ,เบอร์โทรศัพท์,ตัวเลข,มี,บังคับ,ตัวเลขเท่านั้น (9-10 หลัก),contact_phone_number
FALSE,ข้อมูลคำขอ,รายละเอียดคำขอเครดิต,วงเงินเครดิตที่ต้องการ,ตัวเลข,มี,บังคับ,ตัวเลขเท่านั้น,request_amount
FALSE,ข้อมูลคำขอ,รายละเอียดคำขอเครดิต,ระยะเวลาเครดิต (วัน),ตัวเลข,ไม่มี,ไม่บังคับ,ตัวเลขเท่านั้น,request_credit_term
FALSE,ข้อมูลคำขอ,รายละเอียดคำขอเครดิต,เหตุผลการขอเครดิต,ตัวเลือก,มี,บังคับ,-,ค่าเริ่มต้น 'สต๊อคสินค้า'
FALSE,ข้อมูลคำขอ,ข้อมูลการวางบิล,ความต้องการวางบิล,ตัวเลือก,ไม่มี,ไม่บังคับ,-,ค่าเริ่มต้น: ไม่ต้องการ
FALSE,ข้อมูลคำขอ,ข้อมูลการวางบิล,วิธีการวางบิล,ตัวเลือก,ไม่มี,ไม่บังคับ,-,ตามเงื่อนไข
FALSE,ข้อมูลคำขอ,ข้อมูลการวางบิล,กำหนดวัน-เวลาวางบิล,ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรและตัวเลข,ตามเงื่อนไข
FALSE,ข้อมูลคำขอ,ข้อมูลการวางบิล,ชื่อผู้ติดต่อรับวางบิล,ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรและตัวเลข,ตามเงื่อนไข
FALSE,ข้อมูลคำขอ,ข้อมูลการวางบิล,แผนกรับวางบิล,ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรและตัวเลข,ตามเงื่อนไข
FALSE,ข้อมูลคำขอ,ข้อมูลการวางบิล,โทรศัพท์,ข้อความ,ไม่มี,ไม่บังคับ,ตัวเลขเท่านั้น (9-10 หลัก),ตามเงื่อนไข
FALSE,ข้อมูลคำขอ,ข้อมูลการวางบิล,มือถือ,ข้อความ,ไม่มี,ไม่บังคับ,ตัวเลขเท่านั้น (9-10 หลัก),ตามเงื่อนไข
FALSE,ข้อมูลคำขอ,ข้อมูลการวางบิล,อีเมล,ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรและตัวเลข,ตามเงื่อนไข
FALSE,ข้อมูลคำขอ,ข้อมูลเครดิตที่มีอยู่,ชื่อบริษัท,ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรและตัวเลข,รายการไดนามิก
FALSE,ข้อมูลคำขอ,ข้อมูลเครดิตที่มีอยู่,สินค้าที่ซื้อ,ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรและตัวเลข,รายการไดนามิก
